taxon,locus_counts,site_counts
CONGOPHILLIPSORUM_FMNH177682,2748,1306549
CROBATAKORUM_KU165320,2891,1553799
CROGOLIATH_FMNH167692,3002,1377734
CROHORSEFIELDII_NK10645,3121,1655132
CROPALAWANENSIS_FMNH195224,1809,984116
CROSIBERICA_TK146501,2877,1408263
Crocidura_LSUMZ39271,3045,1838060
Crocidura_LSUMZ39281,2789,1618211
Crocidura_LSUMZ39283,2764,1597054
Crocidura_australis_Bawakaraeng_MVZ237610_NMV_Z57224,781,232608
Crocidura_australis_Bawakaraeng_MZB40991_NMV_Z57198,937,305225
Crocidura_australis_Bawakaraeng_NMV_Z57223_KCR2954,811,238133
Crocidura_balete_Buliohuto_LSUMZ38264,3062,1852841
Crocidura_balete_Dako_LSUMZ36946,1969,963571
Crocidura_balete_Dako_LSUMZ36951,1973,878899
Crocidura_brevicauda_Latimojong_MVZ237616,3106,1898094
Crocidura_brevicauda_MVZ237632,2906,1785263
Crocidura_brevicauda_MVZ237633,3072,1851947
Crocidura_caudicrassa_Gandangdewata_MZB34793_NMV_Z21753,2870,1602960
Crocidura_caudicrassa_Gandangdewata_MZB34804_NMV_Z21835,2989,1614887
Crocidura_caudipilosa_Bawakaraeng_NMV_Z57044_KCR2849,1017,349937
Crocidura_caudipilosa_Buliohuto_LSUMZ38289,1565,782255
Crocidura_caudipilosa_Katopasa_MZB39871_NMV_Z62416,3123,1594369
Crocidura_caudipilosa_Rorekatimbo_FMNH213246,2996,1668785
Crocidura_elongata_Ambang_LSUMZ39014,3138,1817570
Crocidura_elongata_Ambang_LSUMZ39016,3062,1835595
Crocidura_elongata_Buliohuto_LSUMZ38252,2381,1270384
Crocidura_elongata_Buliohuto_LSUMZ38253,2533,1300409
Crocidura_elongata_Dako_LSUMZ36906,3019,1807492
Crocidura_elongata_Dako_LSUMZ36907,2947,1757167
Crocidura_elongata_Temboan_PARATYPE_USNM217535,1672,507072
Crocidura_lea_Buliohuto_LSUMZ38254,2554,1362503
Crocidura_lea_Dako_LSUMZ36949,3347,1788553
Crocidura_lea_Temboan_HOLOTYPE_USNM217553,1468,401764
Crocidura_levicula_Rorekatimbo_FMNH213271,1461,571299
Crocidura_levicula_Tompotika_FMNH213346,2788,1477521
Crocidura_levicula_Tompotika_FMNH213357,1458,646291
Crocidura_levicula_Torompupu_LSUMZ39446,2986,1837103
Crocidura_mediocra_Balease_FMNH210569,2133,1112969
Crocidura_mediocra_MVZ238110,2925,1757864
Crocidura_mediocra_Mekongga_MWFB8134,2708,1488839
Crocidura_mediocra_SaluTiwo_FMNH218615,2165,947668
Crocidura_microelongata_Gandangdewata_FMNH218546,2535,1208917
Crocidura_microelongata_Gandangdewata_MZB38473_FMNH218971,2706,1318023
Crocidura_microelongata_Latimojong_FMNH212990,2804,1591768
Crocidura_microelongata_Latimojong_FMNH213005,3305,1877257
Crocidura_microelongata_Rorekatimbo_FMNH213158,2720,1385456
Crocidura_musseri_Rorekatimbo_FMNH213253,1818,848629
Crocidura_musseri_Rorekatimbo_FMNH213263,829,384801
Crocidura_nigripes_Buliohuto_LSUMZ38292,3098,1818833
Crocidura_nigripes_LSUMZ39278,2702,1501527
Crocidura_nigripes_LSUMZ39279,2629,1447906
Crocidura_nigripes_SaluTiwo_FMNH218704,2239,1001532
Crocidura_normalis_Gandangdewata_FMNH218607,2772,1417215
Crocidura_normalis_Katopasa_NMV_Z61813_KCR3108,3049,1837114
Crocidura_normalis_Latimojong_FMNH213011,1043,334317
Crocidura_normalis_Mekongga_MWFB8151,1662,691395
Crocidura_normalis_Mekongga_MWFB8154,2249,939325
Crocidura_normalis_Rorekatimbo_FMNH213184,976,431267
Crocidura_ordinarius_Gandangdewata_FMNH218726,1649,606007
Crocidura_ordinarius_Gandangdewata_MZB34871_NMV_Z21825,3037,1718488
Crocidura_ordinarius_Torompupu_NMV_Z62193_KCR3349,3096,1845510
Crocidura_pallida_Balease_FMNH210580,2653,1422059
Crocidura_pallida_Balease_FMNH210608,3016,1671786
Crocidura_pallida_Gandangdewata_FMNH218989,2870,1376461
Crocidura_pallida_Katopasa_NMV_Z62395_KCR3147,2742,1516354
Crocidura_pallida_Mekongga_MWFB8059,2249,1185557
Crocidura_pallida_Tompotika_FMNH213366,2956,1743663
Crocidura_parva_Bawakaraeng_MVZ237603_NMV_Z56998,917,278969
Crocidura_parva_Bawakaraeng_NMV_Z56314_HH925,963,303333
Crocidura_parva_Bawakaraeng_NMV_Z56319_HH930,2968,1649383
Crocidura_pseudorhoditis_Ambang_LSUMZ39031,2848,1663240
Crocidura_pseudorhoditis_Ambang_LSUMZ39311,2928,1717779
Crocidura_pseudorhoditis_Buliohuto_LSUMZ38284,2559,1353338
Crocidura_pseudorhoditis_Dako_LSUMZ36980,2561,1292978
Crocidura_quasielongata_Balease_FMNH210546,2850,1494354
Crocidura_quasielongata_Balease_FMNH210559,2993,1670643
Crocidura_quasielongata_Dako_LSUMZ36937,3018,1793386
Crocidura_quasielongata_Katopasa_NMV_Z61792_KCR3120,3105,1872811
Crocidura_quasielongata_Mekongga_MWFB8130,2568,1448818
Crocidura_quasielongata_Tompotika_FMNH213341,2555,1378598
Crocidura_quasielongata_Torompupu_MVZ238107_NMV_Z63366,3060,1874101
Crocidura_quasielongata_Torompupu_NMV_Z61984_KCR3276,3065,1850326
Crocidura_rhoditis_Ambang_LSUMZ39038,2882,1652517
Crocidura_rhoditis_Ambang_LSUMZ39050,2876,1681410
Crocidura_rhoditis_Temboan_PARATYPE_FMNH43858,2370,908160
Crocidura_rhoditis_Temboan_PARATYPE_USNM217552,1459,413498
Crocidura_rhoditis_Temboan_PARATYPE_USNM217554,1745,507550
Crocidura_solita_Gandangdewata_FMNH218770,3005,1811683
Crocidura_solita_Gandangdewata_FMNH218776,3015,1843029
Crocidura_solita_Gandangdewata_NMV_Z21981_KCR1552,2539,1216310
Crocidura_solita_Latimojong_FMNH213015,3094,1781150
Crocidura_solita_Latimojong_FMNH213064,2471,1112055
Crocidura_solita_Rorekatimbo_FMNH213202,3251,1755172
Crocidura_tenebrae_Ambang_LSUMZ39025,3081,1829179
Crocidura_tenebrae_Ambang_LSUMZ39273,2911,1698951
DIPLOPULCHELLUM_MVZ179157,843,314890
MYOGEATA_FMNH158299,3128,1706793
PALAWANMUSCORUM_DSB4854,2400,1350983
PARACROSCHOUTEDENI_FMNH167721,2897,1613807
SCUTITHORI_FMNH219669,2648,1130243
SUNCUSMURINUS_KU164724,3358,1752574
